epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7626,1.81637,2.128,1.39087,0.63523,0.23488,0.30334,0.19855,1.43044,2.22046,1.40535,0.000412458,0.000412458,0.000412458
2,32.8283,1.50369,1.2921,1.21786,0.8404,0.22562,0.30598,0.19697,1.64836,2.00026,1.58335,0.000820916,0.000820916,0.000820916
3,47.674,1.44544,1.15551,1.17625,0.51525,0.36719,0.41499,0.25153,1.45775,2.15743,1.50952,0.00122112,0.00122112,0.00122112
4,62.8791,1.39593,1.11085,1.15523,0.54022,0.52194,0.45126,0.28339,1.66955,2.29984,1.67938,0.00121287,0.00121287,0.00121287
5,78.3337,1.31507,1.01092,1.12542,0.67552,0.43581,0.42028,0.23669,1.5061,1.90903,1.48745,0.0012005,0.0012005,0.0012005
6,93.3277,1.25819,0.95619,1.10441,0.60903,0.36404,0.46772,0.29332,1.42865,1.69768,1.45129,0.00118812,0.00118812,0.00118812
7,108.701,1.1714,0.86352,1.06443,0.76433,0.38234,0.42547,0.27319,1.59644,1.81367,1.54703,0.00117575,0.00117575,0.00117575
8,123.77,1.14596,0.84641,1.0557,0.58231,0.5227,0.46151,0.28776,1.48147,1.68712,1.50614,0.00116337,0.00116337,0.00116337
9,138.787,1.10791,0.81498,1.03608,0.41382,0.42917,0.3567,0.23642,1.49243,1.83912,1.51986,0.001151,0.001151,0.001151
10,153.976,1.07867,0.78377,1.03158,0.55251,0.43559,0.43721,0.23719,1.54252,1.83037,1.51123,0.00113863,0.00113863,0.00113863
11,169.032,1.05906,0.77066,1.02005,0.71081,0.5095,0.55475,0.35007,1.41676,1.51057,1.43405,0.00112625,0.00112625,0.00112625
12,184.249,1.0135,0.72084,0.9999,0.53887,0.33279,0.3469,0.22565,1.66197,2.17565,1.58482,0.00111388,0.00111388,0.00111388
13,199.063,1.02452,0.73647,1.00288,0.53726,0.50009,0.46839,0.27035,1.51483,1.84938,1.49204,0.0011015,0.0011015,0.0011015
14,214.071,0.99296,0.71303,0.99388,0.58392,0.44211,0.46875,0.28381,1.48045,1.78768,1.42348,0.00108913,0.00108913,0.00108913
15,228.948,0.97346,0.69207,0.9879,0.58444,0.41362,0.42348,0.25613,1.45662,1.70275,1.43843,0.00107675,0.00107675,0.00107675
16,243.899,0.96887,0.70645,0.99448,0.83871,0.38726,0.47061,0.26396,1.56339,1.70518,1.54472,0.00106437,0.00106437,0.00106437
17,258.806,0.95193,0.68216,0.98382,0.36999,0.42554,0.36132,0.18962,1.65562,1.96987,1.56604,0.001052,0.001052,0.001052
18,273.797,0.95277,0.67601,0.98501,0.56512,0.34283,0.36381,0.24416,1.46639,2.13607,1.43006,0.00103962,0.00103962,0.00103962
19,288.729,0.89423,0.62811,0.96169,0.7373,0.49857,0.52992,0.28635,1.4126,1.69168,1.39776,0.00102725,0.00102725,0.00102725
20,303.73,0.90411,0.63375,0.96415,0.61561,0.41868,0.42605,0.24224,1.54406,1.83134,1.44221,0.00101488,0.00101488,0.00101488
21,318.513,0.87427,0.62146,0.95647,0.60852,0.39768,0.37708,0.2005,1.7421,1.95622,1.65323,0.0010025,0.0010025,0.0010025
22,333.414,0.87101,0.61284,0.95092,0.5741,0.44058,0.3815,0.22121,1.6478,2.23584,1.57526,0.000990125,0.000990125,0.000990125
23,348.525,0.85734,0.6024,0.9486,0.58462,0.45529,0.45903,0.27125,1.50978,1.77641,1.47757,0.00097775,0.00097775,0.00097775
24,363.582,0.86594,0.61378,0.95209,0.63944,0.47886,0.45291,0.25929,1.54791,1.87155,1.48434,0.000965375,0.000965375,0.000965375
25,378.63,0.85181,0.60209,0.94978,0.70598,0.32952,0.35926,0.21973,1.57206,2.11335,1.50496,0.000953,0.000953,0.000953
26,393.925,0.84179,0.5857,0.9383,0.69911,0.39088,0.44651,0.27736,1.43174,1.74378,1.43273,0.000940625,0.000940625,0.000940625
27,409.077,0.81404,0.57295,0.93659,0.90087,0.3824,0.41809,0.24545,1.4892,1.8061,1.47056,0.00092825,0.00092825,0.00092825
28,424.232,0.83687,0.59247,0.94543,0.57517,0.28898,0.29729,0.18637,1.62321,1.91138,1.50636,0.000915875,0.000915875,0.000915875
29,439.413,0.78871,0.55189,0.92688,0.83965,0.46238,0.528,0.28227,1.54964,2.15384,1.5497,0.0009035,0.0009035,0.0009035
30,454.418,0.80123,0.56701,0.93352,0.72229,0.44177,0.42374,0.24911,1.56026,1.81458,1.52206,0.000891125,0.000891125,0.000891125
31,469.632,0.7906,0.55802,0.92726,0.77033,0.32536,0.38786,0.24183,1.62501,2.09387,1.52277,0.00087875,0.00087875,0.00087875
